celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,agg_week_1,rank_of_week_1,agg_week_2,rank_of_week_2,agg_week_3,rank_of_week_3,agg_week_4,rank_of_week_4,agg_week_5,rank_of_week_5,agg_week_6,rank_of_week_6,agg_week_7,rank_of_week_7,agg_week_8,rank_of_week_8,agg_week_9,rank_of_week_9,agg_week_10,rank_of_week_10,agg_week_11,rank_of_week_11,episodes_participated,var_week_1,var_week_2,var_week_3,var_week_4,var_week_5,var_week_6,var_week_7,var_week_8,var_week_9,var_week_10,var_week_11,season_mean_week_variance,season_flag,avg_weekly_rank,final_rank_parsed,episodes_participated_parsed,rank_difference,season_flag_parsed,avg_agg_score,avg_week_variance
Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,28,Eliminated Week 7,8,6,5,6,,7,5,7,,5,5,6,,7,7,7,7,7,7,7,,9,8,8,,8.5,8,8,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,17.0,5.0,19.0,6.0,16.0,8.0,28.0,6.0,21.0,8.0,25.0,6.0,24.5,6.0,,,,,,,,,7,8.076388888888888,9.6875,15.559999999999997,18.96,5.876543209876543,3.333333333333334,3.75,16.530114295510206,21.645833333333332,1.9,0.3125,9.602928460085664,False,6.428571428571429,8.0,7,-1.5714285714285712,False,21.5,9.602928460085664
Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,28,1st Place,1,7,7,6,,8,8,8,,7,7,7,,8,8,8,8,9,7,9,,8,8,8,,8.5,9,8.5,,10.6666,9.6666,10.6666,,9,8.5,9,9,9,9,9,,10,9.5,9.5,,20.0,2.0,24.0,1.0,21.0,5.0,32.0,1.0,25.0,4.0,24.0,8.0,26.0,4.0,30.9998,2.0,35.5,4.0,27.0,3.0,29.0,3.0,11,8.076388888888888,9.6875,15.559999999999997,18.96,5.876543209876543,3.333333333333334,3.75,16.530114295510206,21.645833333333332,1.9,0.3125,9.602928460085664,False,3.3636363636363638,1.0,11,2.3636363636363638,False,26.77270909090909,9.602928460085664
Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,29,Eliminated Week 4,13,6,6,6,,6,6,6,,5,5,5,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,18.0,6.0,18.0,6.0,15.0,13.0,21.0,10.0,,,,,,,,,,,,,,,4,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,8.75,13.0,4,-4.25,False,18.0,5.318652475036087
Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,29,Eliminated Week 5,12,6,6,6,,7,7,6,,7,6,7,,7,7,7,,7,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,18.0,6.0,20.0,4.0,20.0,9.0,21.0,10.0,19.0,11.0,,,,,,,,,,,,,5,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,8.0,12.0,5,-4.0,False,19.6,5.318652475036087
Chrishell Stause,Gleb Savchenko,Actor/Actress,Kentucky,United States,39,29,Eliminated Week 8,8,4,5,4,,6,6,6,,7,7,8,,7,8,7,,6,6,7,,8,8,8,,9,9,8,,9,9,9,,0,0,0,,0,0,0,,0,0,0,,13.0,13.0,18.0,6.0,22.0,4.0,22.0,8.0,19.0,11.0,24.0,7.0,26.0,5.0,27.0,5.0,,,,,,,8,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,7.375,8.0,8,-0.625,False,21.375,5.318652475036087
Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,29,Eliminated Week 10,5,7,7,7,,5,5,5,,6,6,6,,10,9,9,,8,8,8,,6,6,6,,9,9,9,,8.6666,9.6666,8.6666,,9.6666,9.6666,9.6666,,9.5,9.5,9.5,,0,0,0,,21.0,1.0,15.0,14.0,18.0,11.0,28.0,1.0,24.0,5.0,18.0,11.0,27.0,2.0,26.9998,7.0,28.9998,3.0,28.5,4.0,,,10,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,5.9,5.0,10,0.9000000000000004,False,23.54996,5.318652475036087
Justina Machado,Sasha Farber,Actor/Actress,Illinois,United States,48,29,4th Place,4,7,7,7,,7,7,7,,7,6,6,,8,8,8,,8,8,8,,9,9,9,,9,9,8,,9.6666,9.6666,9.6666,,8.6666,8.6666,8.6666,,9.5,10,9.5,,10,10,10,,21.0,1.0,21.0,2.0,19.0,10.0,24.0,3.0,24.0,5.0,27.0,1.0,26.0,5.0,28.9998,3.0,25.9998,5.0,29.0,3.0,30.0,1.0,11,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,3.5454545454545454,4.0,11,-0.4545454545454546,False,25.090872727272725,5.318652475036087
Charles Oakley,Emma Slater,Athlete,Ohio,United States,56,29,Eliminated Week 2,15,4,4,4,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,12.0,14.0,15.0,14.0,,,,,,,,,,,,,,,,,,,2,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,14.0,15.0,2,-1.0,False,13.5,5.318652475036087
Veron Davis,Peta Murgatroyd,Athlete,Washington D.C.,United States,36,29,Eliminated Week 6,11,5,6,6,,6,6,6,,8,7,7,,8,7,7,,7,7,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,17.0,11.0,18.0,6.0,22.0,4.0,22.0,8.0,21.0,10.0,21.0,10.0,,,,,,,,,,,6,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,8.166666666666666,11.0,6,-2.833333333333334,False,20.166666666666668,5.318652475036087
Johnny Weir,Britt Stewart,Athlete,Pennsylvania,United States,36,29,Eliminated Week 10,6,6,6,6,,6,6,6,,8,8,8,,8,8,8,,10,10,9,,7,8,7,,9,9,9,,10,10,10,,10,10,10,,9.5,9.5,9.5,,0,0,0,,18.0,6.0,18.0,6.0,24.0,1.0,24.0,3.0,29.0,1.0,22.0,9.0,27.0,2.0,30.0,1.0,30.0,1.0,28.5,4.0,,,10,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,3.4,6.0,10,-2.6,False,25.05,5.318652475036087
Nev Schulman,Jenna Johnson,Producer,New York,United States,35,29,2nd Place,2,7,7,6,,7,7,7,,8,8,8,,8,8,8,,8,9,9,,9,9,8,,10,10,10,,10,10,10,,9.6666,9.6666,9.6666,,10,10,10,,10,10,10,,20.0,3.0,21.0,2.0,24.0,1.0,24.0,3.0,26.0,3.0,26.0,5.0,30.0,1.0,30.0,1.0,28.9998,3.0,30.0,1.0,30.0,1.0,11,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,2.1818181818181817,2.0,11,0.18181818181818166,False,26.363618181818183,5.318652475036087
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,29,Eliminated Week 9,7,6,6,6,,7,6,6,,7,7,7,,8,8,8,,8,8,8,,9,9,9,,9,8,9,,9,9,9,,7.6666,8.6666,8.6666,,0,0,0,,0,0,0,,18.0,6.0,19.0,5.0,21.0,7.0,24.0,3.0,24.0,5.0,27.0,1.0,26.0,5.0,27.0,5.0,24.9998,6.0,,,,,9,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,4.777777777777778,7.0,9,-2.2222222222222223,False,23.444422222222222,5.318652475036087
Nelly,Daniella Karagach,Singer/Rapper,Texas,United States,45,29,3rd Place,3,5,5,6,,6,6,6,,6,6,6,,7,7,7,,8,8,8,,8,8,8,,9,9,9,,8,8,8,,8,8,8,,9.5,9,9.5,,9.5,9.5,9.5,,16.0,12.0,18.0,6.0,18.0,11.0,21.0,10.0,24.0,5.0,24.0,7.0,27.0,2.0,24.0,8.0,24.0,7.0,28.0,6.0,28.5,4.0,11,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,7.090909090909091,3.0,11,4.090909090909091,False,22.954545454545453,5.318652475036087
Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,,Canada,35,29,1st Place,1,6,7,7,,7,8,7,,8,7,8,,9,8,8,,9,9,9,,9,9,9,,7,9,8,,9,10,9,,10,10,10,,10,10,10,,10,10,10,,20.0,3.0,22.0,1.0,23.0,3.0,25.0,2.0,27.0,2.0,27.0,1.0,24.0,9.0,28.0,4.0,30.0,1.0,30.0,1.0,30.0,1.0,11,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,2.5454545454545454,1.0,11,1.5454545454545454,False,26.0,5.318652475036087
Carole Baskin,Pasha Pashkov,TV Personality,Texas,United States,59,29,Eliminated Week 3,14,4,4,3,,6,5,5,,5,4,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,11.0,15.0,16.0,12.0,12.0,14.0,,,,,,,,,,,,,,,,,3,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,13.666666666666666,14.0,3,-0.3333333333333339,False,13.0,5.318652475036087
Monica Aldama,Valentin Chmerkovskiy,TV Personality,Alabama,United States,48,29,Eliminated Week 7,10,6,7,6,,5,6,5,,7,7,7,,8,8,8,,9,9,8,,9,9,9,,7,8,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19.0,5.0,16.0,12.0,21.0,7.0,24.0,3.0,26.0,3.0,27.0,1.0,22.0,10.0,,,,,,,,,7,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,5.857142857142857,10.0,7,-4.142857142857143,False,22.142857142857142,5.318652475036087
Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,29,Withdrew,9,6,6,6,,6,6,6,,7,7,8,,7,7,7,,8,8,8,,8,8,9,,8,9,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,18.0,6.0,18.0,6.0,22.0,4.0,21.0,10.0,24.0,5.0,25.0,6.0,25.0,8.0,,,,,,,,,7,9.02222222222222,4.293333333333334,10.923469387755105,3.9763313609467463,8.409722222222221,8.049586776859506,4.0,3.4374750075000002,5.38782858122449,0.5833333333333334,0.421875,5.318652475036087,False,6.428571428571429,9.0,7,-2.571428571428571,False,21.857142857142858,5.318652475036087
Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,30,Eliminated Week 2,15,4,3,3,3,4,3,4,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,13.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,2,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,15.0,15.0,2,0.0,False,14.0,8.403479534202063
Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,30,Eliminated Week 4,13,6,6,6,6,6,5,6,6,7,6,6,,6.5,6,7,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,24.0,9.0,23.0,13.0,19.0,12.0,26.0,13.0,,,,,,,,,,,,,,,4,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,11.75,13.0,4,-1.25,False,23.0,8.403479534202063
Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,30,Eliminated Week 9,6,7,6,7,6,7,6,7,7,8,7,8,,9,9.5,9,9,9,9,9,9,8,9,8,9,9.5,9.5,9.5,9.5,10.5,10.5,10.5,10.5,8.5,9.5,9,9,0,0,0,0,,,,,26.0,5.0,27.0,5.0,23.0,4.0,36.5,1.0,36.0,3.0,34.0,8.0,38.0,3.0,42.0,1.0,36.0,5.0,,,,,9,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,3.888888888888889,6.0,9,-2.111111111111111,False,33.166666666666664,8.403479534202063
Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,30,Eliminated Week 4,12,6,6,6,6,5,5,6,6,7,6,7,,7,6.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,24.0,9.0,22.0,14.0,20.0,10.0,28.5,12.0,,,,,,,,,,,,,,,4,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,11.25,12.0,4,-0.75,False,23.625,8.403479534202063
"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,30,Eliminated Week 7,9,6,6,6,6,7,5,7,7,7,7,8,,8.5,7.5,8.5,8,8,8,8,8,9,8,9,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,24.0,9.0,26.0,8.0,22.0,5.0,32.5,7.0,32.0,9.0,34.0,8.0,32.0,9.0,,,,,,,,,7,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,7.857142857142857,9.0,7,-1.1428571428571432,False,28.928571428571427,8.403479534202063
Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,30,Eliminated Week 9,5,7,7,7,7,7,7,7,7,7,7,7,,8.5,8,9,8.5,9,9,9,9,9,9,9,9,8.25,8.25,8.25,9.25,10.5,10.5,10.5,10.5,10,9,9.5,9,0,0,0,0,,,,,28.0,2.0,28.0,4.0,21.0,7.0,34.0,4.0,36.0,3.0,36.0,5.0,34.0,6.0,42.0,1.0,37.5,3.0,,,,,9,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,3.888888888888889,5.0,9,-1.1111111111111112,False,32.94444444444444,8.403479534202063
Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,30,1st Place,1,7,4,5,5,7,6,6,6,7,6,6,,8.5,6.5,8.5,8,7,7,7,7,10,10,10,10,9.5,7.5,8.5,8.5,9,8,9,9,9.5,9,10,9,10,10,10,10,,,,,21.0,14.0,25.0,9.0,19.0,12.0,31.5,9.0,28.0,11.0,40.0,1.0,34.0,6.0,35.0,7.0,37.5,3.0,40.0,1.0,,,10,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,7.3,1.0,10,6.3,False,31.1,8.403479534202063
Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,30,3rd Place,3,6,6,6,6,6,6,6,6,6,6,6,,7.5,6.5,7.5,7.5,8,8,8,8,9,9,9,9,8.5,8.5,9.5,9.5,10,10,9,9,9,9,8.5,9,9.5,9.5,9.5,9.5,,,,,24.0,9.0,24.0,10.0,18.0,14.0,29.0,11.0,32.0,9.0,36.0,5.0,36.0,5.0,38.0,5.0,35.5,6.0,38.0,4.0,,,10,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,7.8,3.0,10,4.8,False,31.05,8.403479534202063
Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,30,Eliminated Week 5,11,7,7,6,7,7,7,8,8,7,7,8,,8,8,8.5,8.5,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,27.0,4.0,30.0,3.0,22.0,5.0,33.0,6.0,36.0,3.0,,,,,,,,,,,,,5,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,4.2,11.0,5,-6.8,False,29.6,8.403479534202063
Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,30,Eliminated Week 8,7,6,5,6,5,7,6,7,7,6,6,8,,8.5,7.5,8.5,8,8,8,9,9,10,9,10,9,9,9,10,10,8,8,8,8,0,0,0,0,0,0,0,0,,,,,22.0,13.0,27.0,5.0,20.0,10.0,32.5,7.0,34.0,8.0,38.0,3.0,38.0,3.0,32.0,8.0,,,,,,,8,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,7.125,7.0,8,0.125,False,30.4375,8.403479534202063
Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,30,Eliminated Week 8,8,7,6,6,6,7,6,7,7,8,8,8,,8,9,9,9,9,9,9,9,9,9,9,9,11,9,11,11,9,9,9,9,0,0,0,0,0,0,0,0,,,,,25.0,7.0,27.0,5.0,24.0,1.0,35.0,2.0,36.0,3.0,36.0,5.0,42.0,1.0,36.0,6.0,,,,,,,8,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,3.75,8.0,8,-4.25,False,32.625,8.403479534202063
JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,30,2nd Place,2,8,7,7,7,8,8,7,8,8,8,8,,8.5,8.5,9,9,10,10,10,10,10,10,10,10,10,9,10,10,10.5,9.5,10.5,10.5,10,10,10,10,10,10,10,10,,,,,29.0,1.0,31.0,2.0,24.0,1.0,35.0,2.0,40.0,1.0,40.0,1.0,39.0,2.0,41.0,4.0,40.0,1.0,40.0,1.0,,,10,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,1.6,2.0,10,-0.3999999999999999,False,35.9,8.403479534202063
Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,30,Eliminated Week 3,14,6,7,6,6,6,6,6,6,7,7,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,25.0,7.0,24.0,10.0,21.0,7.0,,,,,,,,,,,,,,,,,3,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,8.0,14.0,3,-6.0,False,23.333333333333332,8.403479534202063
Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,30,Eliminated Week 6,10,7,6,6,7,6,6,6,6,7,7,7,,7,7,8,7.5,9,9,9,9,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,26.0,5.0,24.0,10.0,21.0,7.0,29.5,10.0,36.0,3.0,32.0,10.0,,,,,,,,,,,6,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,7.5,10.0,6,-2.5,False,28.083333333333332,8.403479534202063
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,30,4th Place,4,7,7,7,7,8,8,8,8,8,8,8,,8.5,8.5,8.5,8.5,10,10,9,10,9,9,10,10,8.25,8.25,8.25,9.25,10.5,10.5,10.5,10.5,9.5,10,10,10,9.5,10,9.5,10,,,,,28.0,2.0,32.0,1.0,24.0,1.0,34.0,4.0,39.0,2.0,38.0,3.0,34.0,6.0,42.0,1.0,39.5,2.0,39.0,3.0,,,10,13.840000000000003,16.088888888888885,3.6326530612244903,8.571005917159763,10.363636363636363,6.239999999999999,8.888888888888891,13.0,2.722222222222222,0.6875,,8.403479534202063,False,2.5,4.0,10,-1.5,False,34.95,8.403479534202063
Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,31,Eliminated Week 1,16,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,18.0,15.0,,,,,,,,,,,,,,,,,,,,,1,18.859375,10.248888888888887,10.88265306122449,11.786982248520712,10.588541666666666,9.05,5.111111111111111,24.6875,7.38888888888889,1.0,,10.960394086530076,False,15.0,16.0,1,-1.0,False,18.0,10.960394086530076
Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,31,Eliminated Week 3,14,6,5,5,5,5,6,5,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,21.0,10.0,21.0,15.0,24.0,13.0,,,,,,,,,,,,,,,,,3,18.859375,10.248888888888887,10.88265306122449,11.786982248520712,10.588541666666666,9.05,5.111111111111111,24.6875,7.38888888888889,1.0,,10.960394086530076,False,12.666666666666666,14.0,3,-1.333333333333334,False,22.0,10.960394086530076
Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,31,Withdrew,12,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,28.0,3.0,28.0,6.0,28.0,9.0,32.0,6.0,40.0,4.0,,,,,,,,,,,,,5,18.859375,10.248888888888887,10.88265306122449,11.786982248520712,10.588541666666666,9.05,5.111111111111111,24.6875,7.38888888888889,1.0,,10.960394086530076,False,5.6,12.0,5,-6.4,False,31.2,10.960394086530076
Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,31,Eliminated Week 5,11,6,5,6,6,6,6,6,6,8,7,7,7,7,7,7,7,9,8.5,9,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,23.0,9.0,24.0,13.0,29.0,7.0,28.0,11.0,35.0,10.0,,,,,,,,,,,,,5,18.859375,10.248888888888887,10.88265306122449,11.786982248520712,10.588541666666666,9.05,5.111111111111111,24.6875,7.38888888888889,1.0,,10.960394086530076,False,10.0,11.0,5,-1.0,False,27.8,10.960394086530076
Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,31,Eliminated Week 9,6,5,5,5,6,7,7,8,8,7,6,7,7,7,7,7,7,9,9,9,9,9,8,8,9,10,9,10,10,9.25,10.25,9.25,10.25,8.5,8,8,8,0,0,0,0,,,,,21.0,10.0,30.0,4.0,27.0,10.0,28.0,11.0,36.0,7.0,34.0,5.0,39.0,1.0,39.0,5.0,32.5,6.0,,,,,9,18.859375,10.248888888888887,10.88265306122449,11.786982248520712,10.588541666666666,9.05,5.111111111111111,24.6875,7.38888888888889,1.0,,10.960394086530076,False,6.555555555555555,6.0,9,0.5555555555555554,False,31.833333333333332,10.960394086530076
Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,31,Eliminated Week 9,5,7,6,7,7,7,7,7,8,8,7,8,8,7,7,7,8,8.125,8.125,8.625,8.625,9,8,8,9,9,8.5,9.5,9.5,10,9,10,10,9,8,9,8.5,0,0,0,0,,,,,27.0,6.0,29.0,5.0,31.0,5.0,29.0,9.0,33.5,11.0,34.0,5.0,36.5,4.0,39.0,5.0,34.5,5.0,,,,,9,18.859375,10.248888888888887,10.88265306122449,11.786982248520712,10.588541666666666,9.05,5.111111111111111,24.6875,7.38888888888889,1.0,,10.960394086530076,False,6.111111111111111,5.0,9,1.1111111111111107,False,32.611111111111114,10.960394086530076
Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,31,3rd Place,3,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,10.125,10.125,10.125,10.625,8,9,8,9,9.5,9,9.5,10,11.25,11.25,11.25,11.25,9.5,9,9,9,9.5,9.5,9.5,9.5,,,,,29.0,2.0,32.0,1.0,33.0,1.0,36.0,1.0,41.0,2.0,34.0,5.0,38.0,3.0,45.0,1.0,36.5,3.0,38.0,3.0,,,10,18.859375,10.248888888888887,10.88265306122449,11.786982248520712,10.588541666666666,9.05,5.111111111111111,24.6875,7.38888888888889,1.0,,10.960394086530076,False,2.2,3.0,10,-0.7999999999999998,False,36.25,10.960394086530076
Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,31,Eliminated Week 4,13,5,5,5,5,6,6,7,7,6,6,6,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,20.0,12.0,26.0,11.0,25.0,12.0,25.0,13.0,,,,,,,,,,,,,,,4,18.859375,10.248888888888887,10.88265306122449,11.786982248520712,10.588541666666666,9.05,5.111111111111111,24.6875,7.38888888888889,1.0,,10.960394086530076,False,12.0,13.0,4,-1.0,False,24.0,10.960394086530076
